000000;//
100011;

001011;//EE
011011;
001011;
011011;
001011;
011011;
000011;
010011;
001011;
011011;
001011;
011011;
001011;
011011;
000011;
010011;

100011;

001011;//89
011011;
000011;
010011;
000011;
010011;
000011;
010011;
001011;
011011;
000011;
010011;
000011;
010011;
001011;
011011;

100011;

001011;//90
011011;
000011;
010011;
000011;
010011;
001011;
011011;
000011;
010011;
000011;
010011;
000011;
010011;
000011;
010011;

100011;

001011;//E5
011011;
001011;
011011;
001011;
011011;
000011;
010011;
000011;
010011;
001011;
011011;
000011;
010011;
001011;
011011;

00x011;//A23-A16
01x011;
00x011;
01x011;
00x011;
01x011;
00x011;
01x011;
00x011;
01x011;
00x011;
01x011;
00x011;
01x011;
00x011;
01x011;

00x011;//A15-A8
01x011;
00x011;
01x011;
00x011;
01x011;
00x011;
01x011;
00x011;
01x011;
00x011;
01x011;
00x011;
01x011;
00x011;
01x011;

00x011;//A7-A0
01x011;
00x011;
01x011;
00x011;
01x011;
00x011;
01x011;
00x011;
01x011;
00x011;
01x011;
00x011;
01x011;
00x011;
01x011;

100010;//meas
